Complexity,Loss,Equation
1,9.794702,"3.812414"
3,3.9258487,"x1 * 2.6470687e-5"
4,2.7230477,"square(x1) * 1.2767065e-10"
5,0.88402593,"(x1 * 3.390523e-5) - x17"
7,0.3228262,"(x17 * -1.651965) - (x1 * -3.8751557e-5)"
9,0.22303152,"(x17 * -1.8216773) - ((x2 * -0.014383569) / x0)"
11,0.11337732,"(x17 * -1.7064013) - (x2 * ((-0.051489852 / x0) - -0.00011151197))"
13,0.11228535,"((x0 * x17) * -0.0050596986) - (x2 * ((-0.04402082 / x0) + 8.923938e-5))"
15,0.112285316,"(((x0 * x17) * -0.013799124) * x4) - (x2 * ((-0.044021316 / x0) + 8.9240515e-5))"
