,Tfc,Pa_des,Pc_des,Sa,Sc,Phi_a_des,Phi_c_des,epsilon_gdl,tau,epsilon_mc,epsilon_c,e,Re,i0_c_ref,kappa_co,kappa_c,a_slim,b_slim,a_switch,classification
1615,336.3133770882763,259987.27908357448,239987.27908357448,1.3,2.6885273949084945,0.5,0.5881205624592514,0.6898527028264129,1.984954723796656,0.16057575208038913,0.21662800870703636,4.0,9.823506850004195e-07,290.0086561703688,28.401451777323206,28.88328936373329,0.9531633120667112,0.34588803472884866,0.9989821429219468,invalid
1616,362.45902452771537,156646.06020786555,136646.06020786555,1.3,1.1972920445145765,0.5,0.21318877682670423,0.7620013977649028,1.3641261701759897,0.3168215914699737,0.284638173004487,4.0,1.159304067492485e-06,437.3351461849846,4.333356129355499,60.6665858046239,0.6468279984285056,0.7169625725045466,0.844017793994652,invalid
1617,339.0983395449557,207499.53006394295,187499.53006394295,1.3,2.9970514949373035,0.5,0.10791575503917661,0.7085778741777711,1.6706094154501419,0.3807811620770643,0.17074186300663136,4.0,3.78348018348217e-06,442.026211870614,1.7182380349748634,77.9474819954469,0.9636264574189646,0.11925866098735309,0.6440618046618032,invalid
1618,339.9512593799844,220099.62940588532,200099.62940588532,1.3,2.557463487018245,0.5,0.18349500852545325,0.7782162105048023,3.57491104985167,0.23302796269335863,0.24096845464209715,5.0,2.3841183531284336e-06,129.34623237669382,15.55067027969472,28.381207310261768,0.3284425024727073,0.48746138277395135,0.47624285752901874,invalid
1619,353.3303382975835,279219.09702009696,259219.09702009696,1.3,1.1788847594017346,0.5,0.286926212764409,0.7742451212135221,3.956865956607598,0.28867122454163685,0.258464461480305,4.0,1.605405970811844e-06,307.0973183528806,19.399572078515884,45.99229013627456,0.8701910293197334,0.30038095944261767,0.650070482657534,invalid
1620,337.0046320276994,264037.9913989397,244037.9913989397,1.3,2.5062568032584496,0.5,0.5544615036543525,0.7385876937656275,3.04320838685293,0.16663222029686173,0.17997327809806676,5.0,3.054985318183899e-06,54.028487975580575,29.131534179885875,84.6488571656488,0.5726570174467772,0.6256394826824894,0.014941237323505635,invalid
1621,343.00000000333335,236666.6666666633,226666.6662666633,2.99999999,9.99999999,0.6999999966666666,0.99999999,0.7166666633333334,3.99999999,0.23333333666666667,0.24999999666666667,5.0,3.4966666666666665e-06,499.99999999,26.669999996666665,66.66666666333333,0.99999999,0.99999999,0.6666666633333332,invalid
1622,346.6978462533393,189710.68849787413,169710.68849787413,1.3,2.589933692568331,0.5,0.2729320570341674,0.6881474876502895,3.9696404854579863,0.3623355111088009,0.177522081506629,5.0,3.7098284143209463e-06,167.2154722309826,2.1664653823705255,22.08733810670134,0.08785809469472634,0.2843016354665972,0.6934534421615478,invalid
1623,359.6185121812701,136247.60258943768,116247.60258943768,1.3,1.735204509234047,0.5,0.23032499614442242,0.7873692454747432,1.643174088684282,0.23667366955634855,0.22178291535058603,5.0,4.873202300071717e-06,489.41758015690004,26.398193460644055,68.77832356464806,0.18224306481310942,0.6606754665724193,0.6006710825842851,invalid
1624,358.3863374912787,189672.45004140137,169672.45004140137,1.3,1.9696324748996252,0.5,0.3843500479684524,0.6117355384718407,3.4767374675797678,0.30104737972146545,0.22686527621276362,3.0,3.350499566793442e-06,0.5522184714700501,29.86098891623065,69.57489400710568,0.18321701679645375,0.7700038163007349,0.4349858205729805,invalid
