Complexity,Loss,Equation
1,8.766554e7,"464.2907"
3,8.725985e7,"1608.0663 / x3"
5,8.1944744e7,"x6 / (x3 + -1.199769)"
7,6.108525e7,"831.3255 / (x3 - (x4 * 1.3172182))"
9,2.7530944e7,"320.29843 / ((x3 + (x15 + x8)) + -1.4479426)"
11,2.4849344e7,"x16 * (x0 / ((x8 + (x15 + x3)) + -1.4487079))"
13,2.2023392e7,"(x0 * (x16 - -0.4359735)) / (((x8 + x15) + x3) + -1.4479426)"
15,2.1661808e7,"(x0 * (x16 - -0.44037306)) / (-1.4479426 + ((x3 + x8) + (x14 + x15)))"
17,2.155703e7,"(x0 * (x16 - -0.44037306)) / (-1.4479426 + ((x3 + x8) - (x0 * (x14 + x15))))"
19,2.150981e7,"((x0 * x9) * ((x16 - -0.439402) * x8)) / ((-1.4479426 + ((x8 + x3) + x14)) + x15)"
