Complexity,Loss,Equation
1,1.782563e-8,"3.41162e-5"
3,1.7392061e-8,"x6 / 0.07426778"
4,1.7308285e-8,"0.37962228 / cube(x4)"
5,1.687094e-8,"x6 * (x0 / x4)"
6,1.5909007e-8,"cube(x2 * (x6 / x4))"
8,1.5751729e-8,"cube(x2 * (x6 / x4)) + 1.2554226e-5"
10,1.5729215e-8,"cube((x2 * x6) / (x4 - 0.5832635)) + 1.0510006e-5"
11,1.572357e-8,"(log(x1) * 3.8739686e-6) + cube((x6 / x4) * x2)"
12,1.4310826e-8,"cube((x2 * x6) / x4) + (-2.6787395e-6 / (x3 + -1.0389498))"
13,1.4080283e-8,"cube(x2 * (x6 / x4)) + (neg(x6) / (-1.0389498 + x3))"
15,1.4037764e-8,"cube((x2 * x6) / (x4 - 0.35566851)) + neg(x6 / (-1.0389498 + x3))"
