feature,mean_abs_shap
ifc,0.24246813
i0_c_ref,0.04310371
kappa_c,0.02905273
Tfc,0.0256649
Pa_des,0.022707673
Re,0.010735994
tau,0.010140551
epsilon_mc,0.008145011
kappa_co,0.007979542
Sc,0.0064235106
Phi_c_des,0.0037598552
epsilon_gdl,0.0018654447
epsilon_c,0.0017977994
e,0.0006189039
