feature,mean_abs_shap
ifc,0.115941726
i0_c_ref,0.042955816
Pa_des,0.03477881
Tfc,0.032638848
Re,0.022519803
kappa_c,0.021740664
tau,0.01827393
epsilon_mc,0.014542282
Phi_c_des,0.008036777
Sc,0.007622364
kappa_co,0.004625566
epsilon_gdl,0.003961758
epsilon_c,0.002951134
e,0.0011172452
