feature,mean_abs_shap
ifc,0.06731969
i0_c_ref,0.042765472
Pa_des,0.030510195
Tfc,0.029973846
kappa_c,0.026851367
Re,0.014543684
tau,0.013731965
epsilon_mc,0.010954962
Phi_c_des,0.0069938893
Sc,0.0055559324
kappa_co,0.004963468
epsilon_gdl,0.0021902143
epsilon_c,0.0019123841
e,0.0008384009
