feature,mean_abs_shap
ifc,0.11476787
i0_c_ref,0.042725217
Pa_des,0.034335073
Tfc,0.032390602
Re,0.0219416
kappa_c,0.021652173
tau,0.017343042
epsilon_mc,0.014116527
Phi_c_des,0.007847557
Sc,0.0070549524
kappa_co,0.0044014645
epsilon_gdl,0.0036125614
epsilon_c,0.0022710536
e,0.001052386
