feature,mean_abs_shap
ifc,0.24081343
i0_c_ref,0.043041386
kappa_c,0.029080579
Tfc,0.025536777
Pa_des,0.022603549
Re,0.010376503
tau,0.009832114
kappa_co,0.008019691
epsilon_mc,0.007923777
Sc,0.006281666
Phi_c_des,0.0037370778
epsilon_gdl,0.0018298062
epsilon_c,0.0015610461
e,0.0005838032
