Complexity,Loss,Equation
1,0.02823136,"0.71655834"
3,0.027284374,"249.43253 / x0"
4,0.010970188,"exp(x7 * -0.22991912)"
6,0.010703126,"exp((x7 * -0.20934871) - 0.036500238)"
7,0.009261992,"exp((inv(x1) + x7) * -0.22225267)"
8,0.009056931,"exp((x7 * -0.21586004) - (0.40029874 / x1))"
9,0.0078808665,"exp((x7 * -0.20301509) - inv(x1 - -1.5244014))"
11,0.007869113,"exp(((x7 * -0.20549886) + 0.00559717) - inv(x1 - -1.5242181))"
13,0.0073910374,"exp(((x7 * -0.22750199) + (x3 * 0.038220193)) - inv(x1 - -1.5242181))"
