Complexity,Loss,Equation
5,0.010876456,"a = 0.8871942; b = 0.025088063; c = 0.18677649; d = -1.839108; e = -24.726004"
15,0.010377325,"a = #1 * 0.0025313091; b = #1 * 5.3065174e-5; c = #1 * 0.003986926; d = #1 * 13.3872; e = #1 * 10.54661"
