y_true,y_pred,residual
0.8640666050182692,0.8532092,0.010857407497059435
0.8191640307378094,0.82044506,-0.0012810299921710566
0.7884801312758043,0.7880381,0.0004420563055589355
0.7639186797868375,0.7266664,0.03725228889099397
0.7428495393777614,0.69864076,0.0442087756181484
0.7240652827366078,0.67130554,0.052759745512791834
0.7068953996055873,0.6614811,0.04541431716616473
0.6909252742286972,0.6391657,0.051759574746733095
0.6758783886942951,0.6290485,0.046829862407216205
0.6615598082198545,0.61320287,0.048356938327734134
0.6478258985177306,0.59920555,0.04862034498608392
0.6345669710730582,0.5845452,0.0500217759703665
0.6216967455316935,0.5719568,0.049739932196274816
0.6091456034539611,0.5557685,0.053377113616314587
0.5968560496524009,0.5235669,0.07328914796859354
0.5847795364619272,0.5127256,0.07205394480238125
0.5728741515460651,0.50514776,0.06772639640003852
0.5611027764079364,0.48715475,0.07394802439186887
0.549430670929671,0.47405332,0.07537734766078064
0.5378183364787557,0.4695961,0.06822224854616898
0.5262407898800754,0.46227795,0.06396284102372163
0.5146781907717144,0.45159867,0.06307951671280021
0.5031178729777238,0.44243568,0.06068219115780804
0.4915521006728589,0.43395007,0.05760203410639164
0.47997829801096115,0.4224804,0.057497893633977504
0.46840143480054164,0.41599664,0.0524047938799026
0.4568094554843146,0.40066046,0.056149000257416426
0.4451808203422502,0.38122207,0.06395875107879195
0.43349912634044613,0.37251303,0.060986100341376914
0.4217517957252219,0.36457157,0.05718022437512427
0.40992683210238356,0.34668154,0.06324529685839553
0.9997443249362651,1.0031815,-0.003437132583266167
0.9533914939149419,0.9594926,-0.0061011298910578216
0.9197703441623857,0.9212549,-0.001484529113371158
0.8922886744640918,0.8969379,-0.004649232278004178
0.8686818461808036,0.8694062,-0.0007243771163155666
0.8478322223101156,0.8485216,-0.0006893679227335525
0.8290867998962933,0.8278568,0.0012300207977825606
0.8120328740115558,0.8146671,-0.0026342316631878804
0.7963871027536205,0.7983272,-0.00194010481168716
0.7835859453969677,0.7854794,-0.001893480987004481
0.7705567912522406,0.7670756,0.0034811930123419543
0.7578875780932058,0.75264305,0.005244529329930692
0.7460264175109416,0.7413578,0.004668614166215002
0.7343128192502772,0.727537,0.0067758429128443876
0.7221249302452717,0.71751904,0.004605885369173057
0.7099437337422527,0.7038624,0.006081305077091592
0.6980061471544814,0.68494844,0.013057702788026315
0.686310642554752,0.6781594,0.008151226832858738
0.6748283386114213,0.66329676,0.011531579482850773
0.6635525831949006,0.649808,0.013744593597580068
0.6524658890134323,0.6351334,0.017332503355168116
0.6415514679672192,0.62847286,0.013078603339381045
0.6307938564312158,0.6152746,0.015519248295992383
0.6201788601376244,0.6054961,0.01468275160567245
0.6096933983891265,0.5956724,0.014020969781185832
0.5993253780243618,0.5885726,0.01075275667884179
0.5890636143235846,0.576602,0.012461632206885342
0.5788976644409007,0.57011014,0.00878752220991319
0.5688177627070821,0.5649436,0.0038741510852253747
0.558814702002209,0.55180067,0.007014033762615446
0.5488762054445948,0.5429189,0.005957284927627038
1.0139715060467824,1.0140003,-2.879054592996866e-05
0.9225997264209677,0.9130537,0.009546035033791145
0.8678694313610125,0.8653318,0.002537602766804703
0.8251953625619088,0.8209885,0.0042068862855111355
0.7889251058108225,0.7889216,3.511191071559061e-06
0.7567582978623385,0.7629061,-0.006147776661587279
0.7275032260174491,0.73134947,-0.0038462422137520713
0.7004507629531732,0.6992392,0.0012115685600152526
0.6751386930336278,0.67232215,0.0028165389885228542
0.6512461331310976,0.6568245,-0.005578396039892408
0.628539145881479,0.6286945,-0.00015532881563407042
0.6068409884684234,0.6106901,-0.0038491284139008375
0.5860141638144312,0.5843563,0.0016578558310327285
0.565949152234367,0.56627387,-0.00032471584958682076
0.5465569918016584,0.5517921,-0.005235093369087451
0.5277642491653134,0.53354657,-0.005782317797882408
0.5095094006140695,0.5224463,-0.01293687414331579
0.4917402873900813,0.50390613,-0.01216584340062915
0.47441219841454574,0.48475614,-0.010343943486470497
0.45748642797175504,0.4587101,-0.0012236762553110014
0.44092916602030247,0.44096655,-3.7380515189477936e-05
0.42471063015382693,0.4279201,-0.003209472919293188
0.40880437609698883,0.41611263,-0.0073082554623831175
0.3931867420395864,0.39667845,-0.0034917056838022487
0.3778363946208134,0.3871538,-0.009317409681402156
0.3627339534496,0.3672429,-0.004508949067718704
0.34786168161998243,0.3499276,-0.002065922578473378
