Complexity,Loss,Equation
1,0.09357593,"0.6783994"
2,0.09261941,"236.10165 / x0"
3,0.07186239,"exp(-0.2713327 / x9)"
4,0.071446784,"-2.8011534 / (-2.819721 - x7)"
5,0.06998752,"-7.034574 / (-7.2451878 - (x5 / x9))"
7,0.06926234,"-11.215495 / (((-1.5916014 - x5) / x9) - 11.276598)"
10,0.068169005,"(-3.2288475 / (-3.1639657 - inv(x9))) - inv(x1 - -2.833481)"
12,0.06689479,"(-7.451493 / (-7.3075094 - (x5 / x9))) - (1.6000481 / (x5 * (x1 + 1.8721441)))"
