Complexity,Loss,Equation
1,2886.5342,"-52.496666"
3,2670.5208,"x3 * -36.666008"
5,2316.7688,"x3 * (-1045.7935 / x4)"
6,2273.625,"-1219.5459 / (x4 - cube(x3))"
7,2248.7366,"(x3 * (-805.3017 / x4)) - 15.944325"
8,2237.013,"(exp(x3 / x4) * -808.709) - -795.90857"
9,2032.3221,"(x4 * -32.778934) / (x4 - (x3 * 6.413624))"
11,2029.8649,"((3.5715098 - x4) * 37.043022) / (x4 - (x3 * 6.565954))"
13,1996.6633,"(42.560665 / (x4 - 13.98975)) * ((x3 * -5.676688) + (18.980547 - x4))"
15,1994.6627,"((x3 - -40.947807) / (x4 - 13.98975)) * ((x3 * -5.676688) + (18.980547 - x4))"
17,1994.586,"(((x3 * -5.676688) + (18.980547 - x4)) * ((x3 - -40.947807) / (x4 - 13.98975))) - -0.40888286"
18,1993.6947,"((x3 - -40.846558) / (x4 - 13.710783)) * (((x3 * -6.2293754) + (19.04006 - x4)) - inv(x0))"
20,1993.5826,"((x3 - -40.846558) / (x4 - 13.710783)) * (((x3 * -6.2293754) + (19.04006 - x4)) - inv(x0 * x3))"
