id,Tfc,Pa_des,Pc_des,Sa,Sc,Phi_a_des,Phi_c_des,epsilon_gdl,tau,epsilon_mc,epsilon_c,e,Re,i0_c_ref,kappa_co,kappa_c,a_slim,b_slim,a_switch,ifc_0,ifc_1,ifc_2,ifc_3,ifc_4,ifc_5,ifc_6,ifc_7,ifc_8,ifc_9,ifc_10,ifc_11,ifc_12,ifc_13,ifc_14,ifc_15,ifc_16,ifc_17,ifc_18,ifc_19,ifc_20,ifc_21,ifc_22,ifc_23,ifc_24,ifc_25,ifc_26,ifc_27,ifc_28,ifc_29,ifc_30,Ucell_0,Ucell_1,Ucell_2,Ucell_3,Ucell_4,Ucell_5,Ucell_6,Ucell_7,Ucell_8,Ucell_9,Ucell_10,Ucell_11,Ucell_12,Ucell_13,Ucell_14,Ucell_15,Ucell_16,Ucell_17,Ucell_18,Ucell_19,Ucell_20,Ucell_21,Ucell_22,Ucell_23,Ucell_24,Ucell_25,Ucell_26,Ucell_27,Ucell_28,Ucell_29,Ucell_30,start_in_range,early_values_in_range,monotonic,minimum_voltage,classification
0,343.00000000333335,110000.00000001,101325.0,1.7333333366666668,9.99999999,0.6999999966666666,0.4000000033333333,0.5500000100000001,2.0000000033333336,0.3166666633333334,0.20000000333333334,5.0,3.4966666666666665e-06,333.3336666633333,26.669999996666665,66.66666666333333,1e-08,1e-08,1e-08,0.0008169887108519014,0.10081562254432432,0.20081562254416985,0.3008156225441716,0.4008156225441745,0.5008156225441774,0.6008156225441805,0.7008156225441834,0.8008156225441864,0.9008156225441893,1.0008156225441922,1.1008156225441954,1.2008156225441984,1.3008156225442014,1.4008156225442043,1.500815622544207,1.6008156225441972,1.700815622544185,1.8008156225441734,1.9008156225441613,2.00081562254415,2.1008156225441375,2.2008156225441255,2.300815622544114,2.400815622544102,2.5008156225440903,2.6008156225440784,2.700815622544067,2.8008156225440546,2.900815622544043,3.0008156225440312,3.475703997942068,3.3045333372892185,3.179478449971257,3.0685150219331057,2.964823821569316,2.8656002636196125,2.7693544776633083,2.6751742419093985,2.5824463445632526,2.4907297619745625,2.399690146504896,2.3090628138051215,2.218630268025079,2.1282078435192933,2.037634046960525,1.9467638064718442,1.8554636244605849,1.7636079324108707,1.6710762975723241,1.577751208532979,1.4835162693286486,1.3882546829057598,1.2918479389743927,1.1941746435339657,1.0951095352941065,0.9945221471975053,0.8922762441576143,0.7882285719037752,0.682228130453153,0.574121259541794,0.4638196980352882,False,False,True,True,invalid
1,362.99999999,110000.00000001,101325.0,1.7333333366666668,9.99999999,0.6999999966666666,0.4000000033333333,0.5500000100000001,2.0000000033333336,0.3166666633333334,0.20000000333333334,5.0,3.4966666666666665e-06,333.3336666633333,26.669999996666665,66.66666666333333,1e-08,1e-08,1e-08,0.0008113136060465763,0.10080993780465694,0.20080993780450138,0.3008099378045031,0.400809937804506,0.5008099378045091,0.600809937804512,0.700809937804515,0.8008099378045178,0.9008099378045208,1.0008099378045237,1.1008099378045266,1.2008099378045296,1.3008099378045324,1.4008099378045353,1.5008099378045383,1.6008099378045282,1.7008099378045165,1.8008099378045044,1.9008099378044927,2.000809937804481,2.1008099378044696,2.2008099378044577,2.3008099378044458,2.4008099378044343,2.5008099378044224,2.600809937804411,2.7008099378043995,2.800809937804387,2.9008099378043757,3.0008099378043642,2.470517610663316,2.316716117578854,2.192666924647706,2.076789469474213,1.9648183707619118,1.8550528635440247,1.7465787228072758,1.6388087520409875,1.531322705535714,1.423795440682754,1.3159610665202326,1.207592382502886,1.0984885562757745,0.9884669484440025,0.8773574826812445,0.7649984310976687,0.6512333771830492,0.5359085931121841,0.4188710065917168,0.2999663276619543,0.17903738189290042,0.055922591661170085,-0.06954556501612108,-0.1975420716679056,-0.3282509195700891,-0.4618668572648158,-0.5985970567972829,-0.7386631350627088,-0.8823033487621063,-1.029774992510562,-1.1813571986273086,False,False,True,True,invalid
2,362.99999999,110000.00000001,101325.0,1.7333333366666668,4.06666667,0.6999999966666666,0.4000000033333333,0.5500000100000001,2.0000000033333336,0.3166666633333334,0.20000000333333334,5.0,3.4966666666666665e-06,333.3336666633333,26.669999996666665,66.66666666333333,1e-08,1e-08,1e-08,0.0008184299121594798,0.10081706617114476,0.20081706617099052,0.3008170661709923,0.4008170661709953,0.5008170661709982,0.6008170661710012,0.700817066171004,0.8008170661710071,0.9008170661710099,1.0008170661710127,1.1008170661710162,1.200817066171019,1.3008170661710219,1.4008170661710249,1.5008170661710278,1.6008170661710177,1.700817066171006,1.8008170661709944,1.9008170661709825,2.0008170661709705,2.100817066170958,2.2008170661709467,2.300817066170935,2.400817066170923,2.500817066170911,2.6008170661708996,2.7008170661708877,2.800817066170876,2.900817066170864,3.000817066170852,1.9674746864202666,1.834195140373938,1.7190372706016699,1.6063115914984276,1.4941764557015613,1.3820858221320662,1.26974070521212,1.1569119087526332,1.0433974481897639,0.9290092157222258,0.8135677714411903,0.696899221850013,0.5788330155824117,0.4592000188434602,0.33783072384870133,0.21455365210261723,0.08919370576422347,-0.03842941797732419,-0.16850291476565288,-0.30122250409050993,-0.4367942633155808,-0.5754365540346361,-0.7173821375095782,-0.8628805210434004,-1.0122005353102268,-1.1656335341894883,-1.323496543078211,-1.486136401623018,-1.6539343598947909,-1.8273115326417513,-2.0067353684771976,False,False,True,True,invalid
3,362.99999999,110000.00000001,101325.0,1.7333333366666668,4.06666667,0.6999999966666666,0.4000000033333333,0.5500000100000001,2.0000000033333336,0.3166666633333334,0.20000000333333334,4.0,3.4966666666666665e-06,333.3336666633333,26.669999996666665,66.66666666333333,1e-08,1e-08,1e-08,0.0008184299121594798,0.10081706617114476,0.20081706617099052,0.3008170661709923,0.4008170661709953,0.5008170661709982,0.6008170661710012,0.700817066171004,0.8008170661710071,0.9008170661710099,1.0008170661710127,1.1008170661710162,1.200817066171019,1.3008170661710219,1.4008170661710249,1.5008170661710278,1.6008170661710177,1.700817066171006,1.8008170661709944,1.9008170661709825,2.0008170661709705,2.100817066170958,2.2008170661709467,2.300817066170935,2.400817066170923,2.500817066170911,2.6008170661708996,2.7008170661708877,2.800817066170876,2.900817066170864,3.000817066170852,1.9674746864202666,1.834195140373938,1.7190372706016699,1.6063115914984276,1.4941764557015613,1.3820858221320662,1.26974070521212,1.1569119087526332,1.0433974481897639,0.9290092157222258,0.8135677714411903,0.696899221850013,0.5788330155824117,0.4592000188434602,0.33783072384870133,0.21455365210261723,0.08919370576422347,-0.03842941797732419,-0.16850291476565288,-0.30122250409050993,-0.4367942633155808,-0.5754365540346361,-0.7173821375095782,-0.8628805210434004,-1.0122005353102268,-1.1656335341894883,-1.323496543078211,-1.486136401623018,-1.6539343598947909,-1.8273115326417513,-2.0067353684771976,False,False,True,True,invalid
4,362.99999999,110000.00000001,101325.0,1.7333333366666668,4.06666667,0.6999999966666666,0.4000000033333333,0.7166666633333334,2.0000000033333336,0.3166666633333334,0.20000000333333334,4.0,3.4966666666666665e-06,333.3336666633333,26.669999996666665,66.66666666333333,1e-08,1e-08,1e-08,0.0008212058203624639,0.1008198467271549,0.2008198467270012,0.30081984672700296,0.40081984672700594,0.500819846727009,0.6008198467270118,0.7008198467270148,0.8008198467270178,0.9008198467270208,1.0008198467270237,1.1008198467270267,1.2008198467270297,1.3008198467270327,1.4008198467270356,1.5008198467270386,1.6008198467270285,1.7008198467270161,1.800819846727005,1.900819846726993,2.0008198467269813,2.1008198467269694,2.200819846726957,2.300819846726945,2.4008198467269333,2.500819846726922,2.6008198467269095,2.7008198467268976,2.800819846726886,2.9008198467268738,3.0008198467268623,1.979696070880219,1.8737378921157188,1.7870966482120896,1.7038563163180427,1.6221640932538364,1.5415144781411068,1.46165777063767,1.3824217191422576,1.303666260023325,1.2252689326209656,1.147120558345923,1.0691220489704363,0.9911828733951216,0.9132196854005702,0.8351552411713983,0.7569174425262721,0.6784386002095921,0.5996546484178746,0.5205046789622679,0.44093028724770555,0.3608751716710855,0.28028469456172933,0.199105527995885,0.11728530899414091,0.03477233590089823,-0.04848471333392912,-0.13253704361576946,-0.21743597361206712,-0.30323323169232874,-0.389981100312222,-0.4777326891598537,False,False,True,True,invalid
5,362.99999999,110000.00000001,101325.0,1.7333333366666668,4.06666667,0.6999999966666666,0.4000000033333333,0.7166666633333334,2.0000000033333336,0.3166666633333334,0.20000000333333334,4.0,3.4966666666666665e-06,333.3336666633333,0.01000001,66.66666666333333,1e-08,1e-08,1e-08,0.0008172597236932201,0.10081589401392786,0.20081589401377342,0.30081589401377523,0.40081589401377815,0.5008158940137811,0.6008158940137841,0.700815894013787,0.8008158940137899,0.9008158940137928,1.0008158940137957,1.1008158940137989,1.2008158940138018,1.3008158940138048,1.4008158940138078,1.5008158940138105,1.6008158940138004,1.7008158940137892,1.800815894013777,1.9008158940137656,2.0008158940137535,2.100815894013742,2.2008158940137297,2.300815894013718,2.4008158940137068,2.5008158940136944,2.600815894013683,2.700815894013671,2.800815894013659,2.9008158940136477,3.000815894013636,2.7416264587455785,1.9117275888671714,1.8212230517164811,1.7369664081324854,1.6547515693208108,1.5737365866158874,1.4935948117076927,1.414127930264484,1.3351832520742424,1.2566318114467292,1.1783593494135227,1.1002631277164996,1.0222496635953777,0.9442331920960154,0.8661344450696042,0.7878796597203693,0.7093997265445278,0.6306293992202074,0.5515067504497657,0.4719725573819964,0.3919698065085573,0.311443281733746,0.23033917033765994,0.14860471407036424,0.06618790517148299,-0.016962854992448095,-0.10089896027733969,-0.1856718968303469,-0.27133347805795816,-0.35793608096618146,-0.4455328781206056,False,False,True,True,invalid
6,362.99999999,236666.6666666633,186666.6670666633,1.7333333366666668,4.06666667,0.6999999966666666,0.4000000033333333,0.7166666633333334,2.0000000033333336,0.3166666633333334,0.20000000333333334,4.0,3.4966666666666665e-06,333.3336666633333,0.01000001,66.66666666333333,1e-08,1e-08,1e-08,0.0008137333484831864,0.10081236167162551,0.2008123616714704,0.3008123616714722,0.4008123616714751,0.5008123616714781,0.6008123616714811,0.700812361671484,0.800812361671487,0.9008123616714898,1.0008123616714926,1.1008123616714955,1.2008123616714983,1.3008123616715013,1.4008123616715042,1.5008123616715074,1.6008123616714973,1.7008123616714856,1.8008123616714744,1.9008123616714623,2.0008123616714504,2.100812361671439,2.200812361671427,2.300812361671415,2.400812361671403,2.5008123616713918,2.60081236167138,2.700812361671368,2.8008123616713565,2.900812361671345,3.0008123616713327,6.536517060293767,5.301310357171334,5.190137047933887,5.098053112970461,5.0142003126934265,4.935122067698193,4.8592100246207774,4.785560726973347,4.713602716433426,4.642944137647192,4.5733000818923895,4.504453913390133,4.43623500228446,4.368505006065912,4.30114903152702,4.234069692562745,4.1671829319664235,4.100415052309185,4.0337005097526575,3.966980264358819,3.9002005044547756,3.833311650838893,3.766267565853407,3.6990249141470213,3.6315426392376815,3.563781529094465,3.4957038508042118,3.4272730393837008,3.3584534293423958,3.2892100201869328,3.219508268968789,False,False,True,True,invalid
7,362.99999999,236666.6666666633,213333.33319999665,1.7333333366666668,4.06666667,0.6999999966666666,0.4000000033333333,0.7166666633333334,2.0000000033333336,0.3166666633333334,0.20000000333333334,4.0,3.4966666666666665e-06,333.3336666633333,0.01000001,66.66666666333333,1e-08,1e-08,1e-08,0.0008120651728101833,0.10081069065512283,0.2008106906549674,0.30081069065496924,0.40081069065497216,0.5008106906549752,0.6008106906549779,0.7008106906549809,0.8008106906549838,0.9008106906549866,1.0008106906549896,1.1008106906549926,1.2008106906549956,1.3008106906549985,1.4008106906550015,1.5008106906550043,1.6008106906549944,1.7008106906549827,1.8008106906549706,1.9008106906549591,2.0008106906549474,2.1008106906549355,2.2008106906549236,2.300810690654912,2.4008106906549003,2.500810690654889,2.600810690654877,2.700810690654865,2.8008106906548536,2.900810690654842,3.0008106906548297,6.842702669212758,5.9642141206976005,5.854485428193429,5.764060893306603,5.681891159218419,5.604512779478658,5.530322816208332,5.458422909739706,5.388246476050381,5.319406058821683,5.251620632914562,5.18467701838581,5.118407669434085,5.052677050720183,4.987372846804278,4.92240005182924,4.85767701663877,4.793131541283142,4.728700718775053,4.664327201035046,4.599959018386007,4.535548376338758,4.471050877194178,4.406424883706401,4.341631013778622,4.276631708873692,4.211390880630225,4.145873597377082,4.0800458360276695,4.013874247714525,3.9473259596412515,False,False,True,True,invalid
8,362.99999999,236666.6666666633,213333.33319999665,1.7333333366666668,4.06666667,0.6999999966666666,0.4000000033333333,0.7166666633333334,2.0000000033333336,0.3166666633333334,0.20000000333333334,4.0,3.4966666666666665e-06,333.3336666633333,0.01000001,66.66666666333333,0.6666666633333332,1e-08,1e-08,0.0008120658435546101,0.10081069132701186,0.20081069132685644,0.30081069132685817,0.4008106913268611,0.5008106913268641,0.6008106913268669,0.70081069132687,0.8008106913268729,0.9008106913268759,1.000810691326879,1.1008106913268818,1.2008106913268848,1.3008106913268878,1.4008106913268907,1.5008106913268935,1.6008106913268836,1.7008106913268715,1.8008106913268598,1.9008106913268483,2.0008106913268366,2.1008106913268247,2.200810691326813,2.300810691326801,2.4008106913267895,2.5008106913267776,2.6008106913267657,2.700810691326754,2.8008106913267423,2.900810691326731,3.000810691326719,6.842702501909746,5.964214145784931,5.8544853740807925,5.764060913239009,5.681891119452528,5.604512786493714,5.530322830028355,5.458422968852306,5.388246474008501,5.319406058767043,5.251620631942252,5.184677018269317,5.118407679235525,5.052677045107255,4.987372836696937,4.922400029037444,4.857676797080781,4.793131540989689,4.728700717976722,4.664327200784593,4.599959018343327,4.535548377060442,4.47105087663555,4.406424883486344,4.3416310137824965,4.276631709237321,4.2113908786771574,4.145873594597857,4.080045832184373,4.013874248632764,3.9473259612489153,False,False,True,True,invalid
9,362.99999999,236666.6666666633,213333.33319999665,1.7333333366666668,4.06666667,0.10000001,0.4000000033333333,0.7166666633333334,2.0000000033333336,0.3166666633333334,0.20000000333333334,4.0,3.4966666666666665e-06,333.3336666633333,0.01000001,66.66666666333333,0.6666666633333332,1e-08,1e-08,0.0008189969516784021,0.10081763416263978,0.20081763416248566,0.30081763416248747,0.40081763416249044,0.5008176341624934,0.6008176341624963,0.7008176341624993,0.8008176341625023,0.9008176341625053,1.0008176341625081,1.100817634162511,1.200817634162514,1.300817634162517,1.40081763416252,1.500817634162523,1.6008176341625129,1.700817634162501,1.800817634162489,1.9008176341624774,2.000817634162465,2.1008176341624534,2.2008176341624415,2.3008176341624296,2.4008176341624177,2.500817634162406,2.6008176341623943,2.7008176341623824,2.8008176341623705,2.9008176341623586,3.000817634162347,7.372331520862601,6.08066228979344,5.955856137850797,5.853060883727324,5.7600486392953565,5.673074546244984,5.590329277730406,5.510757066029228,5.433667332261246,5.358572543075988,5.285109564450422,5.212996935097736,5.142009760558085,5.071963903985876,5.002705577234869,4.934104163298659,4.86604710142751,4.798436152601593,4.731184583942383,4.664215019587575,4.597457753459556,4.530849417278875,4.464331903830184,4.397851488140689,4.331358102714153,4.264804730663478,4.198146893270927,4.131342218105316,4.064350040849442,3.9971311094547852,3.929647271980094,False,False,True,True,invalid
