parameter;lower;upper
Tfc;336.74;355.68
Pa_des;145017.99;299907.62
Pc_des;142007.94;261771.99
Sa;1.30;1.50
Sc;1.10;2.91
Phi_a_des;0.50;0.70
Phi_c_des;0.25;0.66
epsilon_gdl;0.61;0.77
tau;1.01;1.16
epsilon_mc;0.21;0.40
epsilon_c;0.18;0.30
e;3.00;5.00
Re;5.11E-07;4.81E-06
i0_c_ref;0.11;68.16
kappa_co;17.40;33.04
kappa_c;0.02;2.15
a_slim;0.01;1.00
b_slim;0.00;0.99
a_switch;0.10;0.86
