Tfc,Pa_des,Pc_des,Sa,Sc,Phi_a_des,Phi_c_des,epsilon_gdl,tau,epsilon_mc,epsilon_c,e,Re,i0_c_ref,kappa_co,kappa_c,a_slim,b_slim,a_switch,t_step,i_step,delta_pola,i_EIS,ratio_EIS,f_EIS,t_EIS,current_density,max_step,n_gdl,t_purge,type_fuel_cell,type_current,type_auxiliary,type_control,type_purge,type_display,type_plot,C_scl,i_max_pola,Aact,Hgdl,Hmem,Hcl,Hgc,Wgc,Lgc,ifc,Ucell
342.3147464526382,170082.3622196773,133277.92929430841,1.1648288620599692,4.639728418067007,0.5411813711965828,0.18354478818567527,0.735260255711673,3.3706378410469293,0.3530216361717268,0.2707823180440493,3.0,3.049659864036658e-06,382.72166727556004,10.150690231654805,85.6366666937617,0.09509692843864448,0.25977777902471966,0.7864814190307154,"(0, 1000, 50, 10)","(5000.0, 15000.0)","(30, 30, 1000.0, 60)",10000.0,0.05,"(-3, 5, 90, 50)","(np.float64(1000.0), array([  1000.        , 101000.        , 182304.08367888, 248407.6239075 ,
       302152.50156968, 345849.28187725, 381376.5487035 , 410261.66745272,
       433746.44857134, 452840.53466382, 468364.80639817, 480986.6732796 ,
       491248.76649071, 499592.26734228, 506375.87425639, 511891.22369829,
       516375.4280237 , 520021.26926077, 522985.48707096, 525395.51719978,
       527354.9701124 , 528948.08534813, 530243.35309248, 531296.45866322,
       532152.67649768, 532848.81656228, 533414.80686292, 533874.98009058,
       534249.11971665, 534553.31051131, 534800.63004955, 535001.71093387,
       535165.19790432, 535298.11948758, 535406.19016286, 535494.05603512,
       535565.49457743, 535623.57702965, 535670.80043521, 535709.19499237,
       535740.41133526, 535765.7914968 , 535786.42660458, 535803.20378988,
       535816.84432665, 535827.93464008, 535836.95151779, 535844.28260759,
       535850.24308298, 535855.08919288, 535859.02927812, 535862.23272832,
       535864.83726416, 535866.95485815, 535868.67654855, 535870.07635314,
       535871.21445145, 535872.13977184, 535872.89209511, 535873.50376465,
       535874.00107697, 535874.40541219, 535874.73415323, 535875.00143313,
       535875.2187426 , 535875.39542407, 535875.53907332, 535875.65586603,
       535875.75082327, 535875.82802739, 535875.89079749, 535875.94183214,
       535875.9833254 , 535876.01706111, 535876.04448962, 535876.06679012,
       535876.08492134, 535876.09966276, 535876.11164814, 535876.12139274,
       535876.12931549, 535876.13575702, 535876.14099424, 535876.14525232,
       535876.14871431, 535876.15152905, 535876.15381755, 535876.15567819,
       535876.15719097, 535876.15842092]), np.float64(535876.1594209193), array([5.00000000e+04, 4.06520418e+04, 3.30517701e+04, 2.68724388e+04,
       2.18483902e+04, 1.77636334e+04, 1.44425594e+04, 1.17423906e+04,
       9.54704305e+03, 7.76213587e+03, 6.31093344e+03, 5.13104661e+03,
       4.17175043e+03, 3.39180346e+03, 2.75767472e+03, 2.24210216e+03,
       1.82292062e+03, 1.48210891e+03, 1.20501506e+03, 9.79726456e+02,
       7.96557618e+02, 6.47633872e+02, 5.26552785e+02, 4.28108917e+02,
       3.48070032e+02, 2.82995150e+02, 2.30086614e+02, 1.87069813e+02,
       1.52095397e+02, 1.23659769e+02, 1.00540442e+02, 8.17434852e+01,
       6.64607916e+01, 5.40353376e+01, 4.39329361e+01, 3.57192712e+01,
       2.90412261e+01, 2.36117028e+01, 1.91972786e+01, 1.56081714e+01,
       1.26900808e+01, 1.03175539e+01, 8.38859265e+00, 6.82026839e+00,
       5.54515672e+00, 4.50843886e+00, 3.66554490e+00, 2.98023769e+00,
       2.42305495e+00, 1.97004262e+00, 1.60172510e+00, 1.30226792e+00,
       1.05879700e+00, 8.60845197e-01, 6.99902299e-01, 5.69049151e-01,
       4.62660198e-01, 3.76161634e-01, 3.05834770e-01, 2.48656157e-01,
       2.02167610e-01, 1.64370523e-01, 1.33639948e-01, 1.08654735e-01,
       8.83407365e-02, 7.18246263e-02, 5.83963543e-02, 4.74786207e-02,
       3.86020575e-02, 3.13850492e-02, 2.55173266e-02, 2.07466286e-02,
       1.68678563e-02, 1.37142560e-02, 1.11502502e-02, 9.06560872e-03,
       7.37071010e-03, 5.99268831e-03, 4.87230032e-03, 3.96137913e-03,
       3.22076300e-03, 2.61861184e-03, 2.12903837e-03, 1.73099513e-03,
       1.40736973e-03, 1.14424906e-03, 9.30321217e-04, 7.56389141e-04,
       6.14975260e-04, 5.00000000e-04]), array([5.00000000e+04, 4.06520418e+04, 3.30517701e+04, 2.68724388e+04,
       2.18483902e+04, 1.77636334e+04, 1.44425594e+04, 1.17423906e+04,
       9.54704305e+03, 7.76213587e+03, 6.31093344e+03, 5.13104661e+03,
       4.17175043e+03, 3.39180346e+03, 2.75767472e+03, 2.24210216e+03,
       1.82292062e+03, 1.48210891e+03, 1.20501506e+03, 9.79726456e+02,
       7.96557618e+02, 6.47633872e+02, 5.26552785e+02, 4.28108917e+02,
       3.48070032e+02, 2.82995150e+02, 2.30086614e+02, 1.87069813e+02,
       1.52095397e+02, 1.23659769e+02, 1.00540442e+02, 8.17434852e+01,
       6.64607916e+01, 5.40353376e+01, 4.39329361e+01, 3.57192712e+01,
       2.90412261e+01, 2.36117028e+01, 1.91972786e+01, 1.56081714e+01,
       1.26900808e+01, 1.03175539e+01, 8.38859265e+00, 6.82026839e+00,
       5.54515672e+00, 4.50843886e+00, 3.66554490e+00, 2.98023769e+00,
       2.42305495e+00, 1.97004262e+00, 1.60172510e+00, 1.30226792e+00,
       1.05879700e+00, 8.60845197e-01, 6.99902299e-01, 5.69049151e-01,
       4.62660198e-01, 3.76161634e-01, 3.05834770e-01, 2.48656157e-01,
       2.02167610e-01, 1.64370523e-01, 1.33639948e-01, 1.08654735e-01,
       8.83407365e-02, 7.18246263e-02, 5.83963543e-02, 4.74786207e-02,
       3.86020575e-02, 3.13850492e-02, 2.55173266e-02, 2.07466286e-02,
       1.68678563e-02, 1.37142560e-02, 1.11502502e-02, 9.06560872e-03,
       7.37071010e-03, 5.99268831e-03, 4.87230032e-03, 3.96137913e-03,
       3.22076300e-03, 2.61861184e-03, 2.12903837e-03, 1.73099513e-03,
       1.40736973e-03, 1.14424906e-03, 9.30321217e-04, 7.56389141e-04,
       6.14975260e-04, 5.00000000e-04]))",<function polarization_current at 0x000002D05A4899E0>,0.1,10,"(0.6, 15)",manual_setup,polarization,no_auxiliary,no_control,no_purge,no_display,fixed,20000000.0,30000.0,0.0085,0.0002,2e-05,1e-05,0.0005,0.00045,9.67,"[8.14622467e-04 1.00813252e-01 2.00813252e-01 3.00813252e-01
 4.00813252e-01 5.00813252e-01 6.00813252e-01 7.00813252e-01
 8.00813252e-01 9.00813252e-01 1.00081325e+00 1.10081325e+00
 1.20081325e+00 1.30081325e+00 1.40081325e+00 1.50081325e+00
 1.60081325e+00 1.70081325e+00 1.80081325e+00 1.90081325e+00
 2.00081325e+00 2.10081325e+00 2.20081325e+00 2.30081325e+00
 2.40081325e+00 2.50081325e+00 2.60081325e+00 2.70081325e+00
 2.80081325e+00 2.90081325e+00 3.00081325e+00]","[5.58848007 5.29337687 5.08935295 4.91605358 4.76070027 4.61771255
 4.48394076 4.35738131 4.23666271 4.12079791 4.00904908 3.90084857
 3.79574928 3.69339212 3.59348367 3.49578072 3.40007893 3.30620441
 3.21400744 3.12335764 3.03414013 2.94625253 2.85960255 2.77410604
 2.68968538 2.6062681  2.52378582 2.44217331 2.36136765 2.2813076
 2.20193302]"
339.4711370148995,220566.10808731557,185747.5839400035,1.8935952266856715,4.521207686047328,0.28390841478036305,0.5696267943233791,0.7914274579347245,3.822095582868302,0.21459159057648747,0.28218943688924936,5.0,1.7051913072426725e-06,298.02654905548115,3.358541046137397,68.18692189070956,0.6151392384257467,0.2796711453684946,0.1696395183465894,"(0, 1000, 50, 10)","(5000.0, 15000.0)","(30, 30, 1000.0, 60)",10000.0,0.05,"(-3, 5, 90, 50)","(np.float64(1000.0), array([  1000.        , 101000.        , 182304.08367888, 248407.6239075 ,
       302152.50156968, 345849.28187725, 381376.5487035 , 410261.66745272,
       433746.44857134, 452840.53466382, 468364.80639817, 480986.6732796 ,
       491248.76649071, 499592.26734228, 506375.87425639, 511891.22369829,
       516375.4280237 , 520021.26926077, 522985.48707096, 525395.51719978,
       527354.9701124 , 528948.08534813, 530243.35309248, 531296.45866322,
       532152.67649768, 532848.81656228, 533414.80686292, 533874.98009058,
       534249.11971665, 534553.31051131, 534800.63004955, 535001.71093387,
       535165.19790432, 535298.11948758, 535406.19016286, 535494.05603512,
       535565.49457743, 535623.57702965, 535670.80043521, 535709.19499237,
       535740.41133526, 535765.7914968 , 535786.42660458, 535803.20378988,
       535816.84432665, 535827.93464008, 535836.95151779, 535844.28260759,
       535850.24308298, 535855.08919288, 535859.02927812, 535862.23272832,
       535864.83726416, 535866.95485815, 535868.67654855, 535870.07635314,
       535871.21445145, 535872.13977184, 535872.89209511, 535873.50376465,
       535874.00107697, 535874.40541219, 535874.73415323, 535875.00143313,
       535875.2187426 , 535875.39542407, 535875.53907332, 535875.65586603,
       535875.75082327, 535875.82802739, 535875.89079749, 535875.94183214,
       535875.9833254 , 535876.01706111, 535876.04448962, 535876.06679012,
       535876.08492134, 535876.09966276, 535876.11164814, 535876.12139274,
       535876.12931549, 535876.13575702, 535876.14099424, 535876.14525232,
       535876.14871431, 535876.15152905, 535876.15381755, 535876.15567819,
       535876.15719097, 535876.15842092]), np.float64(535876.1594209193), array([5.00000000e+04, 4.06520418e+04, 3.30517701e+04, 2.68724388e+04,
       2.18483902e+04, 1.77636334e+04, 1.44425594e+04, 1.17423906e+04,
       9.54704305e+03, 7.76213587e+03, 6.31093344e+03, 5.13104661e+03,
       4.17175043e+03, 3.39180346e+03, 2.75767472e+03, 2.24210216e+03,
       1.82292062e+03, 1.48210891e+03, 1.20501506e+03, 9.79726456e+02,
       7.96557618e+02, 6.47633872e+02, 5.26552785e+02, 4.28108917e+02,
       3.48070032e+02, 2.82995150e+02, 2.30086614e+02, 1.87069813e+02,
       1.52095397e+02, 1.23659769e+02, 1.00540442e+02, 8.17434852e+01,
       6.64607916e+01, 5.40353376e+01, 4.39329361e+01, 3.57192712e+01,
       2.90412261e+01, 2.36117028e+01, 1.91972786e+01, 1.56081714e+01,
       1.26900808e+01, 1.03175539e+01, 8.38859265e+00, 6.82026839e+00,
       5.54515672e+00, 4.50843886e+00, 3.66554490e+00, 2.98023769e+00,
       2.42305495e+00, 1.97004262e+00, 1.60172510e+00, 1.30226792e+00,
       1.05879700e+00, 8.60845197e-01, 6.99902299e-01, 5.69049151e-01,
       4.62660198e-01, 3.76161634e-01, 3.05834770e-01, 2.48656157e-01,
       2.02167610e-01, 1.64370523e-01, 1.33639948e-01, 1.08654735e-01,
       8.83407365e-02, 7.18246263e-02, 5.83963543e-02, 4.74786207e-02,
       3.86020575e-02, 3.13850492e-02, 2.55173266e-02, 2.07466286e-02,
       1.68678563e-02, 1.37142560e-02, 1.11502502e-02, 9.06560872e-03,
       7.37071010e-03, 5.99268831e-03, 4.87230032e-03, 3.96137913e-03,
       3.22076300e-03, 2.61861184e-03, 2.12903837e-03, 1.73099513e-03,
       1.40736973e-03, 1.14424906e-03, 9.30321217e-04, 7.56389141e-04,
       6.14975260e-04, 5.00000000e-04]), array([5.00000000e+04, 4.06520418e+04, 3.30517701e+04, 2.68724388e+04,
       2.18483902e+04, 1.77636334e+04, 1.44425594e+04, 1.17423906e+04,
       9.54704305e+03, 7.76213587e+03, 6.31093344e+03, 5.13104661e+03,
       4.17175043e+03, 3.39180346e+03, 2.75767472e+03, 2.24210216e+03,
       1.82292062e+03, 1.48210891e+03, 1.20501506e+03, 9.79726456e+02,
       7.96557618e+02, 6.47633872e+02, 5.26552785e+02, 4.28108917e+02,
       3.48070032e+02, 2.82995150e+02, 2.30086614e+02, 1.87069813e+02,
       1.52095397e+02, 1.23659769e+02, 1.00540442e+02, 8.17434852e+01,
       6.64607916e+01, 5.40353376e+01, 4.39329361e+01, 3.57192712e+01,
       2.90412261e+01, 2.36117028e+01, 1.91972786e+01, 1.56081714e+01,
       1.26900808e+01, 1.03175539e+01, 8.38859265e+00, 6.82026839e+00,
       5.54515672e+00, 4.50843886e+00, 3.66554490e+00, 2.98023769e+00,
       2.42305495e+00, 1.97004262e+00, 1.60172510e+00, 1.30226792e+00,
       1.05879700e+00, 8.60845197e-01, 6.99902299e-01, 5.69049151e-01,
       4.62660198e-01, 3.76161634e-01, 3.05834770e-01, 2.48656157e-01,
       2.02167610e-01, 1.64370523e-01, 1.33639948e-01, 1.08654735e-01,
       8.83407365e-02, 7.18246263e-02, 5.83963543e-02, 4.74786207e-02,
       3.86020575e-02, 3.13850492e-02, 2.55173266e-02, 2.07466286e-02,
       1.68678563e-02, 1.37142560e-02, 1.11502502e-02, 9.06560872e-03,
       7.37071010e-03, 5.99268831e-03, 4.87230032e-03, 3.96137913e-03,
       3.22076300e-03, 2.61861184e-03, 2.12903837e-03, 1.73099513e-03,
       1.40736973e-03, 1.14424906e-03, 9.30321217e-04, 7.56389141e-04,
       6.14975260e-04, 5.00000000e-04]))",<function polarization_current at 0x000002D05A4899E0>,0.1,10,"(0.6, 15)",manual_setup,polarization,no_auxiliary,no_control,no_purge,no_display,fixed,20000000.0,30000.0,0.0085,0.0002,2e-05,1e-05,0.0005,0.00045,9.67,"[8.22728573e-04 1.00821372e-01 2.00821372e-01 3.00821372e-01
 4.00821372e-01 5.00821372e-01 6.00821372e-01 7.00821372e-01
 8.00821372e-01 9.00821372e-01 1.00082137e+00 1.10082137e+00
 1.20082137e+00 1.30082137e+00 1.40082137e+00 1.50082137e+00
 1.60082137e+00 1.70082137e+00 1.80082137e+00 1.90082137e+00
 2.00082137e+00 2.10082137e+00 2.20082137e+00 2.30082137e+00
 2.40082137e+00 2.50082137e+00 2.60082137e+00 2.70082137e+00
 2.80082137e+00 2.90082137e+00 3.00082137e+00]","[ 5.94823771  4.9057269   4.1797729   3.51203173  2.90754953  2.35882663
  1.85896202  1.40253053  0.98509176  0.60294535  0.25302646 -0.06631746
 -0.31863597 -0.33880037 -0.3375959  -0.53374123 -0.72301442 -0.90299273
 -1.10216138 -1.32748251 -1.57337415 -1.83513259 -2.10845196 -2.38246224
 -2.65595648 -2.9282913  -3.1989617  -3.46815113 -3.73583986 -4.0020569
 -4.26685796]"
349.1535013786012,225507.0429597424,185087.03913122532,2.922331508111685,2.2143017856930385,0.6973783712886337,0.821090917852321,0.7054819648194367,3.134385771729856,0.3688162832403059,0.18490611083245248,4.0,4.746176335076197e-06,341.9095011753631,18.846794341075334,44.67411518537931,0.817022483044514,0.9649846121892107,0.357241957420913,"(0, 1000, 50, 10)","(5000.0, 15000.0)","(30, 30, 1000.0, 60)",10000.0,0.05,"(-3, 5, 90, 50)","(np.float64(1000.0), array([  1000.        , 101000.        , 182304.08367888, 248407.6239075 ,
       302152.50156968, 345849.28187725, 381376.5487035 , 410261.66745272,
       433746.44857134, 452840.53466382, 468364.80639817, 480986.6732796 ,
       491248.76649071, 499592.26734228, 506375.87425639, 511891.22369829,
       516375.4280237 , 520021.26926077, 522985.48707096, 525395.51719978,
       527354.9701124 , 528948.08534813, 530243.35309248, 531296.45866322,
       532152.67649768, 532848.81656228, 533414.80686292, 533874.98009058,
       534249.11971665, 534553.31051131, 534800.63004955, 535001.71093387,
       535165.19790432, 535298.11948758, 535406.19016286, 535494.05603512,
       535565.49457743, 535623.57702965, 535670.80043521, 535709.19499237,
       535740.41133526, 535765.7914968 , 535786.42660458, 535803.20378988,
       535816.84432665, 535827.93464008, 535836.95151779, 535844.28260759,
       535850.24308298, 535855.08919288, 535859.02927812, 535862.23272832,
       535864.83726416, 535866.95485815, 535868.67654855, 535870.07635314,
       535871.21445145, 535872.13977184, 535872.89209511, 535873.50376465,
       535874.00107697, 535874.40541219, 535874.73415323, 535875.00143313,
       535875.2187426 , 535875.39542407, 535875.53907332, 535875.65586603,
       535875.75082327, 535875.82802739, 535875.89079749, 535875.94183214,
       535875.9833254 , 535876.01706111, 535876.04448962, 535876.06679012,
       535876.08492134, 535876.09966276, 535876.11164814, 535876.12139274,
       535876.12931549, 535876.13575702, 535876.14099424, 535876.14525232,
       535876.14871431, 535876.15152905, 535876.15381755, 535876.15567819,
       535876.15719097, 535876.15842092]), np.float64(535876.1594209193), array([5.00000000e+04, 4.06520418e+04, 3.30517701e+04, 2.68724388e+04,
       2.18483902e+04, 1.77636334e+04, 1.44425594e+04, 1.17423906e+04,
       9.54704305e+03, 7.76213587e+03, 6.31093344e+03, 5.13104661e+03,
       4.17175043e+03, 3.39180346e+03, 2.75767472e+03, 2.24210216e+03,
       1.82292062e+03, 1.48210891e+03, 1.20501506e+03, 9.79726456e+02,
       7.96557618e+02, 6.47633872e+02, 5.26552785e+02, 4.28108917e+02,
       3.48070032e+02, 2.82995150e+02, 2.30086614e+02, 1.87069813e+02,
       1.52095397e+02, 1.23659769e+02, 1.00540442e+02, 8.17434852e+01,
       6.64607916e+01, 5.40353376e+01, 4.39329361e+01, 3.57192712e+01,
       2.90412261e+01, 2.36117028e+01, 1.91972786e+01, 1.56081714e+01,
       1.26900808e+01, 1.03175539e+01, 8.38859265e+00, 6.82026839e+00,
       5.54515672e+00, 4.50843886e+00, 3.66554490e+00, 2.98023769e+00,
       2.42305495e+00, 1.97004262e+00, 1.60172510e+00, 1.30226792e+00,
       1.05879700e+00, 8.60845197e-01, 6.99902299e-01, 5.69049151e-01,
       4.62660198e-01, 3.76161634e-01, 3.05834770e-01, 2.48656157e-01,
       2.02167610e-01, 1.64370523e-01, 1.33639948e-01, 1.08654735e-01,
       8.83407365e-02, 7.18246263e-02, 5.83963543e-02, 4.74786207e-02,
       3.86020575e-02, 3.13850492e-02, 2.55173266e-02, 2.07466286e-02,
       1.68678563e-02, 1.37142560e-02, 1.11502502e-02, 9.06560872e-03,
       7.37071010e-03, 5.99268831e-03, 4.87230032e-03, 3.96137913e-03,
       3.22076300e-03, 2.61861184e-03, 2.12903837e-03, 1.73099513e-03,
       1.40736973e-03, 1.14424906e-03, 9.30321217e-04, 7.56389141e-04,
       6.14975260e-04, 5.00000000e-04]), array([5.00000000e+04, 4.06520418e+04, 3.30517701e+04, 2.68724388e+04,
       2.18483902e+04, 1.77636334e+04, 1.44425594e+04, 1.17423906e+04,
       9.54704305e+03, 7.76213587e+03, 6.31093344e+03, 5.13104661e+03,
       4.17175043e+03, 3.39180346e+03, 2.75767472e+03, 2.24210216e+03,
       1.82292062e+03, 1.48210891e+03, 1.20501506e+03, 9.79726456e+02,
       7.96557618e+02, 6.47633872e+02, 5.26552785e+02, 4.28108917e+02,
       3.48070032e+02, 2.82995150e+02, 2.30086614e+02, 1.87069813e+02,
       1.52095397e+02, 1.23659769e+02, 1.00540442e+02, 8.17434852e+01,
       6.64607916e+01, 5.40353376e+01, 4.39329361e+01, 3.57192712e+01,
       2.90412261e+01, 2.36117028e+01, 1.91972786e+01, 1.56081714e+01,
       1.26900808e+01, 1.03175539e+01, 8.38859265e+00, 6.82026839e+00,
       5.54515672e+00, 4.50843886e+00, 3.66554490e+00, 2.98023769e+00,
       2.42305495e+00, 1.97004262e+00, 1.60172510e+00, 1.30226792e+00,
       1.05879700e+00, 8.60845197e-01, 6.99902299e-01, 5.69049151e-01,
       4.62660198e-01, 3.76161634e-01, 3.05834770e-01, 2.48656157e-01,
       2.02167610e-01, 1.64370523e-01, 1.33639948e-01, 1.08654735e-01,
       8.83407365e-02, 7.18246263e-02, 5.83963543e-02, 4.74786207e-02,
       3.86020575e-02, 3.13850492e-02, 2.55173266e-02, 2.07466286e-02,
       1.68678563e-02, 1.37142560e-02, 1.11502502e-02, 9.06560872e-03,
       7.37071010e-03, 5.99268831e-03, 4.87230032e-03, 3.96137913e-03,
       3.22076300e-03, 2.61861184e-03, 2.12903837e-03, 1.73099513e-03,
       1.40736973e-03, 1.14424906e-03, 9.30321217e-04, 7.56389141e-04,
       6.14975260e-04, 5.00000000e-04]))",<function polarization_current at 0x000002D05A4899E0>,0.1,10,"(0.6, 15)",manual_setup,polarization,no_auxiliary,no_control,no_purge,no_display,fixed,20000000.0,30000.0,0.0085,0.0002,2e-05,1e-05,0.0005,0.00045,9.67,"[8.09639065e-04 1.00808260e-01 2.00808260e-01 3.00808260e-01
 4.00808260e-01 5.00808260e-01 6.00808260e-01 7.00808260e-01
 8.00808260e-01 9.00808260e-01 1.00080826e+00 1.10080826e+00
 1.20080826e+00 1.30080826e+00 1.40080826e+00 1.50080826e+00
 1.60080826e+00 1.70080826e+00 1.80080826e+00 1.90080826e+00
 2.00080826e+00 2.10080826e+00 2.20080826e+00 2.30080826e+00
 2.40080826e+00 2.50080826e+00 2.60080826e+00 2.70080826e+00
 2.80080826e+00 2.90080826e+00 3.00080826e+00]","[3.51423373 3.41075853 3.3246432  3.24595492 3.17219763 3.10091592
 3.0312033  2.96253636 2.89457074 2.82706415 2.75985166 2.69280672
 2.6258326  2.55886255 2.49181044 2.42460122 2.35716453 2.28944145
 2.22137724 2.15291764 2.08401014 2.0146033  1.94464626 1.87408833
 1.80287874 1.73096587 1.65829753 1.58482032 1.51047944 1.43521841
 1.35897242]"
