feature,mean_abs_shap
i0_c_ref,0.059775952
Pa_des,0.052273303
Tfc,0.04785383
Re,0.0370114
tau,0.029919641
kappa_c,0.026257519
epsilon_mc,0.022641947
Phi_c_des,0.012095698
Sc,0.0113416575
epsilon_gdl,0.0063672108
kappa_co,0.0055024647
epsilon_c,0.004191464
e,0.001886059
