feature,mean_abs_shap
i0_c_ref,0.04821354
Tfc,0.035393868
Pa_des,0.035219513
tau,0.032795873
kappa_c,0.031971462
epsilon_mc,0.016378768
Re,0.014542022
Phi_c_des,0.0095475735
kappa_co,0.0070011946
Sc,0.00681048
epsilon_gdl,0.006002595
epsilon_c,0.0051767547
e,0.002688882
