feature,mean_abs_shap
tau,0.061598286
i0_c_ref,0.054815892
Pa_des,0.04272479
Tfc,0.04131965
epsilon_mc,0.033024322
kappa_c,0.032288723
Re,0.019169655
Phi_c_des,0.015037776
kappa_co,0.011421529
Sc,0.010178373
epsilon_c,0.00863061
epsilon_gdl,0.008053841
e,0.0036616242
