feature,mean_abs_shap
i0_c_ref,0.013222649
kappa_c,0.00996378
Tfc,0.0065288567
Pa_des,0.0044763
kappa_co,0.0031796775
tau,0.0029421353
Sc,0.0018993489
epsilon_mc,0.0017687049
Re,0.0009772829
Phi_c_des,0.0006464053
epsilon_c,0.00047605668
epsilon_gdl,0.00043697195
e,0.00012493503
