feature,mean_abs_shap
i0_c_ref,0.04905068
Pa_des,0.034304105
Tfc,0.034022216
kappa_c,0.03198256
tau,0.02201953
Re,0.013861305
epsilon_mc,0.012843066
Phi_c_des,0.008587339
Sc,0.006021549
kappa_co,0.0057727443
epsilon_gdl,0.0035126235
epsilon_c,0.0031738514
e,0.0015397358
