feature,mean_abs_shap
i0_c_ref,0.013247926
kappa_c,0.009995154
Tfc,0.006522898
Pa_des,0.0044615744
kappa_co,0.0031685692
tau,0.0029771389
Sc,0.0019652538
epsilon_mc,0.0017349622
Re,0.001005676
Phi_c_des,0.0006364723
epsilon_c,0.0005231991
epsilon_gdl,0.00044666106
e,0.00013102381
