Tfc,Pa_des,Pc_des,Sa,Sc,Phi_a_des,Phi_c_des,epsilon_gdl,tau,epsilon_mc,epsilon_c,e,Re,i0_c_ref,kappa_co,kappa_c,a_slim,b_slim,a_switch,start_in_range,early_values_in_range,monotonic,aprox_monotonic,classification
3.551022923243380660e+02,1.407524426281539490e+05,1.207524426281539490e+05,1.300000000000000044e+00,1.298992724798893494e+00,5.000000000000000000e-01,6.437454175911948573e-01,6.182346936092741885e-01,3.005704142507192422e+00,1.840833003257267841e-01,2.555898553417856878e-01,3.000000000000000000e+00,1.733951966166496260e-06,4.626503216092015691e+02,3.479418598726217482e+01,2.068303302516767062e+01,5.914997477410899318e-01,6.313292302002443401e-01,7.124687372122597839e-01,True,True,True,True,valid
3.496326207563572552e+02,1.604376721847866429e+05,1.404376721847866429e+05,1.300000000000000044e+00,2.792690796503521256e+00,5.000000000000000000e-01,6.875406987113106272e-01,6.914648397692302328e-01,3.513024525482661975e+00,3.138386572373886851e-01,2.653715108709303605e-01,4.000000000000000000e+00,2.837758826017379949e-06,2.536328256714726948e+01,2.859352400865211763e+01,3.853328535249384679e+00,9.002294693190021624e-01,4.042872824290906775e-01,4.608896932004833413e-01,True,True,True,True,valid
3.395404400658380268e+02,1.423378845956262085e+05,1.223378845956262085e+05,1.300000000000000044e+00,2.312786118807129476e+00,5.000000000000000000e-01,2.348018984428332512e-01,6.445134806621561907e-01,1.138598214597714708e+00,2.748595784530621922e-01,1.546918783017472432e-01,4.000000000000000000e+00,1.299431878328323542e-06,6.867101861310662514e+01,2.987655699744720295e+01,3.500475650639922609e+00,9.820370527776878244e-02,9.850356878905590363e-02,5.677083158362423720e-01,True,True,True,True,valid
3.499443269992323735e+02,2.422735457122293592e+05,2.222735457122293592e+05,1.300000000000000044e+00,2.752887678291257245e+00,5.000000000000000000e-01,2.700486265599177926e-01,7.314970370819243728e-01,2.853130246021035266e+00,1.832117959713072675e-01,2.030638636932708407e-01,4.000000000000000000e+00,3.736610869765281855e-06,5.510674688151817691e+01,3.125471849424656767e+01,3.424069760369234938e+00,8.863839979306483707e-01,7.821815050581453210e-01,5.519690931625405028e-01,True,True,True,True,valid
3.576558561111689301e+02,2.511873187776612176e+05,2.311873187776612176e+05,1.300000000000000044e+00,1.815293647491167617e+00,5.000000000000000000e-01,3.081327299476207537e-01,7.226657672836831470e-01,3.062835384133334671e+00,3.405167464838865232e-01,1.533388178883267616e-01,4.000000000000000000e+00,1.935077355504035877e-06,1.321392981163078275e+02,2.392861530759650890e+01,1.649406838249392049e-01,2.704782233843046058e-01,1.019388218860131368e-01,5.983124690956955760e-01,True,True,True,True,valid
3.518588374175482727e+02,2.105014272499834769e+05,1.905014272499834769e+05,1.300000000000000044e+00,2.605982252411530808e+00,5.000000000000000000e-01,5.557491505756233519e-01,5.770182966874586317e-01,1.806591407362010404e+00,1.654211722898766002e-01,1.608813956655358590e-01,4.000000000000000000e+00,1.462577947974205126e-06,4.256215647042264436e+02,2.307526887613465050e+01,1.545728287105891718e+00,1.785961500388525691e-01,6.192671642068373616e-01,7.121491762289134941e-01,True,True,True,True,valid
3.609012492492468027e+02,2.490856407862116466e+05,2.290856407862116466e+05,1.300000000000000044e+00,1.175329006450259062e+00,5.000000000000000000e-01,6.285652516589785854e-01,7.377923999970532609e-01,1.086122024916981177e+00,3.899388923093896064e-01,2.952219273863694871e-01,5.000000000000000000e+00,9.959687036275863488e-07,6.191076599008069081e+01,1.826893624630968560e+01,6.801426509314765223e-01,5.278695816188168077e-01,4.992769677336578726e-01,2.056699739372873717e-02,True,True,True,True,valid
3.533303382975835234e+02,1.312020629644492583e+05,1.112020629644492583e+05,1.300000000000000044e+00,1.178884759401734650e+00,5.000000000000000000e-01,3.883665703389576063e-01,7.742451212135220695e-01,3.956865956607598100e+00,2.886712245416368505e-01,2.584644614803049967e-01,4.000000000000000000e+00,1.605405970811843989e-06,3.070973183528806203e+02,1.939957207851588450e+01,4.599229013627456197e+01,8.701910293197333557e-01,3.003809594426176677e-01,6.500704826575339768e-01,True,True,True,True,valid
3.582370932630002471e+02,1.432445780094797374e+05,1.232445780094797374e+05,1.300000000000000044e+00,1.117026471667900589e+00,5.000000000000000000e-01,6.560425738206868695e-01,6.662943150827780325e-01,3.456753272704121915e+00,2.120915278827744110e-01,1.526776415799497577e-01,5.000000000000000000e+00,3.594693920016288909e-06,2.306191767499804826e+02,3.826591182252745682e+01,1.647690190672784283e+01,1.402450331725917931e-01,5.477103721121582280e-01,1.261919047939291660e-01,True,True,True,True,valid
3.594674154685729377e+02,1.303045067936281703e+05,1.103045067936281703e+05,1.300000000000000044e+00,1.402877160919956401e+00,5.000000000000000000e-01,6.456623224610487100e-01,5.655589740266216969e-01,2.773390787693664983e+00,2.723938641826300078e-01,2.584574803337826299e-01,4.000000000000000000e+00,1.795336594581604123e-06,1.387026839763021258e+02,1.865973219063358002e+01,7.662257542301234992e+01,5.489533300965421247e-01,4.251906625987200705e-01,1.521909958395563367e-01,True,True,True,True,valid
